Sentence #	Word	POS	Tag
9	meet	VB	O
9	the	DT	O
9	requirements	NNS	O
9	of	IN	O
9	new	JJ	O
9	health	NN	O
9	and	CC	O
9	safety	NN	O
9	legislation	NN	O
9	,	,	O
9	says	VBZ	O
9	the	DT	O
9	report	NN	O
9	.	.	O
10	It	PRP	O
10	identified	VBD	O
10	a	DT	O
10	number	NN	O
10	of	IN	O
10	functional	JJ	O
10	problems	NNS	O
10	at	IN	O
10	the	DT	O
10	gallery	NN	O
10	and	CC	O
10	at	IN	O
10	the	DT	O
10	Art	NNP	B-ORG
10	Annex	NNP	I-ORG
10	in	IN	O
10	the	DT	O
10	Arts	NNP	B-ORG
10	Centre	NNP	I-ORG
10	,	,	O
10	which	WDT	O
10	it	PRP	O
10	said	VBD	O
10	represented	VBD	O
10	a	DT	O
10	'significant	JJ	O
10	hazard	NN	O
10	'	''	O
10	in	IN	O
10	terms	NNS	O
10	of	IN	O
10	the	DT	O
10	Health	NNP	B-ORG
10	and	CC	I-ORG
10	Safety	NNP	I-ORG
10	in	IN	O
10	Employment	NNP	B-ORG
10	Act	NNP	I-ORG
10	.	.	O
11	Expenditure	NN	O
11	of	IN	O
11	$	$	O
11	52,000	CD	B-MONEY
11	in	IN	O
11	the	DT	O
11	current	JJ	O
11	financial	JJ	O
11	year	NN	O
11	to	TO	O
11	rectify	VB	O
11	the	DT	O
11	problems	NNS	O
11	,	,	O
11	including	VBG	O
11	$	$	O
11	11,000	CD	B-MONEY
11	for	IN	O
11	emergency	JJ	O
11	lighting	NN	O
11	at	IN	O
11	the	DT	O
11	gallery	NN	O
11	,	,	O
11	was	VBD	O
11	recommended	VBN	O
11	by	IN	O
11	the	DT	O
11	chairman	NN	O
11	of	IN	O
11	the	DT	O
11	council	NN	O
11	's	POS	O
11	cultural	JJ	O
11	and	CC	O
11	social	JJ	O
11	services	NNS	O
11	committee	NN	O
11	,	,	O
11	Cr	NNP	B-PERSON
11	David	NNP	I-PERSON
11	Close	NNP	I-PERSON
11	.	.	O


1	Researcher	NN	O
1	looks	VBZ	O
1	at	IN	O
1	why	WRB	O
1	criminals	NNS	O
1	stop	VBP	O
1	offending	VBG	O
2	by	IN	O
2	Nigel	NNP	B-PERSON
2	Malthus	NNP	I-PERSON
3	Criminals	NNS	O
3	stop	VBP	O
3	offending	VBG	O
3	when	WRB	O
3	they	PRP	O
3	have	VBP	O
3	something	NN	O
3	of	IN	O
3	value	NN	O
3	they	PRP	O
3	do	VBP	O
3	not	RB	O
3	want	VB	O
3	to	TO	O
3	risk	VB	O
3	through	IN	O
3	further	JJ	O
3	crime	NN	O
3	,	,	O
3	according	VBG	O
3	to	IN	O
3	a	DT	O
3	research	NN	O
3	report	NN	O
3	released	VBN	O
3	yesterday	NN	B-DATE
4	"	SYM	O
4	Straight	NNP	B-TITLE
4	to	TO	I-TITLE
4	the	DT	I-TITLE
4	Point	NNP	I-TITLE
4	—	:	O
4	Angles	NNP	I-TITLE
4	on	IN	I-TITLE
4	Giving	NNP	I-TITLE
4	Up	NNP	I-TITLE
4	Crime	NNP	I-TITLE
4	"	SYM	O
4	is	VBZ	O
4	the	DT	O
4	work	NN	O
4	of	IN	O
4	researcher	NN	O
4	Dr	NNP	B-PERSON
4	Julie	NNP	I-PERSON
4	Leibrich	NNP	I-PERSON
5	,	,	O
5	who	WDT	O
5	interviewed	VBD	O
5	people	NNS	O
5	who	WDT	O
5	had	VBD	O
5	offended	VBN	O
5	,	,	O
5	been	VBN	O
5	sentenced	VBN	O
5	to	IN	O
5	supervision	NN	O
5	,	,	O
5	and	CC	O
5	who	WDT	O
5	still	RB	O
5	had	VBD	O
5	clean	JJ	O
5	slates	NNS	O
5	three	CD	B-DATE
5	years	NNS	I-DATE
5	later	RB	O
6	"	''	O
6	Offenders	NNS	O
6	acknowledge	VBP	O
6	that	IN	O
6	giving	VBG	O
6	up	RP	O
6	a	DT	O
6	life	NN	O
6	of	IN	O
6	crime	NN	O
6	is	VBZ	O
6	not	RB	O
6	easy	JJ	O
6	.	.	O
7	Their	PRP$	O
7	stories	NNS	O
7	give	VBP	O
7	us	PRP	O
7	an	DT	O
7	idea	NN	O
7	of	IN	O
7	what	WDT	O
7	motivates	VBZ	O
7	an	DT	O
7	offender	NN	O
7	and	CC	O
7	what	WDT	O
7	helps	VBZ	O
7	or	CC	O
7	hinders	VBZ	O
7	them	PRP	O
7	in	IN	O
7	changing	VBG	O
7	their	PRP$	O
7	behaviour	NN	O
7	,	,	O
7	said	VBD	O
7	Dr	NNP	B-PERSON
7	Leibrich	NNP	I-PERSON
8	.	.	O
8	They	PRP	O
8	stop	VBP	O
8	offending	VBG	O
8	when	WRB	O
8	they	PRP	O
8	have	VBP	O
8	something	NN	O
8	of	IN	O
8	value	NN	O
8	they	PRP	O
8	do	VBP	O
8	not	RB	O
8	want	VB	O
8	to	TO	O
8	risk	VB	O
9	,	,	O
9	she	PRP	O
9	said	VBD	O
10	"	''	O
10	They	PRP	O
10	change	VBP	O
10	when	WRB	O
10	they	PRP	O
10	come	VBP	O
10	to	TO	O
10	a	DT	O
10	personal	JJ	O
10	decision	NN	O
10	that	IN	O
10	offending	NN	O
10	is	VBZ	O
10	no	RB	O
10	longer	RB	O
10	worth	JJ	O
10	while	NN	O
10	.	.	O
11	In	IN	O
11	the	DT	O
11	study	NN	O
11	the	DT	O
11	subjects	NNS	O
11	speak	VBP	O
11	of	IN	O
11	their	PRP$	O
11	lives	NNS	O
11	in	IN	O
11	their	PRP$	O
11	own	JJ	O
11	words	NNS	O
11	,	,	O
11	interspersed	VBN	O
11	with	IN	O
11	commentary	NN	O
11	and	CC	O
11	analysis	NN	O
12	.	.	O
12	Dr	NNP	B-PERSON
12	Leibrich	NNP	I-PERSON
12	is	VBZ	O
12	the	DT	O
12	Department	NNP	B-ORG
12	of	IN	I-ORG
12	Justice	NNP	I-ORG
12	Centennial	NNP	I-ORG
12	Research	NNP	I-ORG
12	Fellow	NNP	I-ORG
13	.	.	O
13	Her	PRP$	O
13	study	NN	O
13	was	VBD	O
13	published	VBN	O
13	by	IN	O
13	the	DT	O
13	Otago	NNP	B-ORG
13	University	NNP	I-ORG
13	Press	NNP	I-ORG
13	in	IN	O
13	conjunction	NN	O
13	with	IN	O
13	the	DT	O
13	department	NN	O
13	,	,	O
13	and	CC	O
13	was	VBD	O
13	launched	VBN	O
13	by	IN	O
13	Justice	NNP	B-PERSON
13	Cartwright	NNP	I-PERSON
13	in	IN	O
13	Wellington	NNP	B-GPE
13	last	JJ	O
13	night	NN	O
14	.	.	O
14	The	DT	O
14	department	NN	O
14	's	POS	O
14	general	JJ	O
14	manager	NN	O
14	for	IN	O
14	criminal	JJ	O
14	justice	NN	O
14	development	NN	O
14	,	,	O
14	Mr	NNP	B-PERSON
14	Mel	NNP	I-PERSON
14	Smith	NNP	I-PERSON
14	,	,	O
14	said	VBD	O
14	it	PRP	O
14	was	VBD	O
14	an	DT	O
14	entirely	RB	O
14	diffefent	JJ	O
14	approach	NN	O
14	to	TO	O
14	gathering	VBG	O
14	information	NN	O
14	for	IN	O
14	policy	NN	O
14	development	NN	O
14	,	,	O
14	and	CC	O
14	should	MD	O
14	be	VB	O
14	of	IN	O
14	greater	JJR	O
14	value	NN	O
14	than	IN	O
14	much	JJ	O
14	international	JJ	O
14	research	NN	O
14	.	.	O
15	Most	JJS	O
15	research	NN	O
15	was	VBD	O
15	not	RB	O
15	basic	JJ	O
15	enough	RB	O
15	for	IN	O
15	policy-makers	NNS	O
15	to	TO	O
15	feel	VB	O
15	confident	JJ	O
15	about	IN	O
15	it	PRP	O
16	.	.	O


1	TVNZ	NNP	B-ORG
1	splitting	VBG	O
1	off	IN	O
1	news	NN	O
1	as	IN	O
1	a	DT	O
1	separate	JJ	O
1	business	NN	O
1	section	NN	O
2	WELLINGTON	NNP	B-GPE
2	—	:	O
2	Television	NNP	B-ORG
2	New	NNP	I-ORG
2	Zealand	NNP	I-ORG
2	is	VBZ	O
2	splitting	VBG	O
2	off	IN	O
2	its	PRP$	O
2	news	NN	O
2	and	CC	O
2	current	NN	O
2	affairs	NNS	O
2	department	NN	O
2	to	TO	O
2	operate	VB	O
2	as	IN	O
2	a	DT	O
2	separate	JJ	O
2	business	NN	O
2	arm	NN	O
2	in	IN	O
2	a	DT	O
2	move	NN	O
2	seen	VBN	O
2	as	IN	O
2	a	DT	O
2	further	JJR	O
2	step	NN	O
2	towards	IN	O
2	preparing	VBG	O
2	the	DT	O
2	Stateowned	NNP	B-ORG
2	enterprise	NN	O
2	for	IN	O
2	eventual	JJ	O
2	sale	NN	O
3	The	DT	O
3	new	JJ	O
3	grouping	NN	O
3	will	MD	O
3	report	VB	O
3	directly	RB	O
3	to	IN	O
3	TVNZ	NNP	B-ORG
3	's	POS	O
3	group	NN	O
3	chief	JJ	O
3	executive	NN	O
3	,	,	O
3	Brent	NNP	B-PERSON
3	Harman	NNP	I-PERSON
4	The	DT	O
4	creation	NN	O
4	of	IN	O
4	a	DT	O
4	stand-alone	JJ	O
4	news	NN	O
4	division	NN	O
4	would	MD	O
4	enable	VB	O
4	new	JJ	O
4	business	NN	O
4	opportunities	NNS	O
4	to	TO	O
4	be	VB	O
4	exploited	VBN	O
4	,	,	O
4	Mr	NNP	B-PERSON
4	Harman	NNP	I-PERSON
4	said	VBD	O
5	As	IN	O
5	part	NN	O
5	of	IN	O
5	the	DT	O
5	change	NN	O
5	,	,	O
5	TVNZ	NNP	B-ORG
5	's	POS	O
5	director	NN	O
5	of	IN	O
5	news	NN	O
5	and	CC	O
5	current	NN	O
5	affairs	NNS	O
5	,	,	O
5	Paul	NNP	B-PERSON
5	Norris	NNP	I-PERSON
5	,	,	O
5	will	MD	O
5	step	VB	O
5	up	RP	O
5	to	TO	O
5	a	DT	O
5	group	NN	O
5	role	NN	O
5	to	TO	O
5	oversee	VB	O
5	the	DT	O
5	development	NN	O
5	of	IN	O
5	the	DT	O
5	news	NN	O
5	division	NN	O
6	The	DT	O
6	deputy	NN	O
6	director	NN	O
6	of	IN	O
6	news	NN	O
6	and	CC	O
6	current	NN	O
6	affairs	NNS	O
6	,	,	O
6	Shaun	NNP	B-PERSON
6	Brown	NNP	I-PERSON
6	,	,	O
6	will	MD	O
6	,	,	O
6	meanwhile	RB	O
6	,	,	O
6	assume	VB	O
6	day-to-day	JJ	O
6	responsibility	NN	O
6	for	IN	O
6	news	NN	O
6	and	CC	O
6	current	NN	O
6	affairs	NNS	O
7	In	IN	O
7	May	NNP	B-DATE
7	,	,	O
7	TVNZ	NNP	B-ORG
7	announced	VBD	O
7	a	DT	O
7	40	CD	O
7	per	NN	O
7	cent	NN	O
7	surge	NN	O
7	in	IN	O
7	profits	NNS	O
7	to	TO	O
7	$	$	O
7	32.6	CD	B-MONEY
7	million	CD	I-MONEY
7	for	IN	O
7	the	DT	O
7	year	NN	O
7	ending	VBG	O
7	December	NNP	B-DATE
8	Turnover	NN	O
8	in	IN	O
8	the	DT	O
8	same	JJ	O
8	period	NN	O
8	was	VBD	O
8	up	RB	O
8	8	CD	O
8	per	NN	O
8	cent	NN	O
8	,	,	O
8	or	CC	O
8	$	$	O
8	29	CD	B-MONEY
8	million	CD	I-MONEY
8	,	,	O
8	to	TO	O
8	$	$	O
8	372	CD	B-MONEY
8	million	CD	I-MONEY
9	This	DT	O
9	strong	JJ	O
9	performance	NN	O
9	is	VBZ	O
9	understood	VBN	O
9	to	TO	O
9	have	VB	O
9	prompted	VBN	O
9	the	DT	O
9	interest	NN	O
9	of	IN	O
9	Australian	JJ	B-GPE
9	media	NN	O
9	magnate	NN	O
9	Kerry	NNP	B-PERSON
9	Packer	NNP	I-PERSON
10	,	,	O
10	who	WP	O
10	is	VBZ	O
10	seen	VBN	O
10	as	IN	O
10	a	DT	O
10	potential	JJ	O
10	buyer	NN	O
10	for	IN	O
10	TV2	NNP	B-ORG
11	The	DT	O
11	Government	NNP	B-ORG
11	has	VBZ	O
11	yet	RB	O
11	to	TO	O
11	give	VB	O
11	formal	JJ	O
11	consideration	NN	O
11	to	TO	O
11	the	DT	O
11	ownership	NN	O
11	of	IN	O
11	TVNZ	NNP	B-ORG
12	,	,	O
12	though	IN	O
12	Broadcasting	NNP	B-ORG
12	Minister	NNP	O
12	Maurice	NNP	B-PERSON
12	Williamson	NNP	I-PERSON
12	has	VBZ	O
12	often	RB	O
12	said	VBD	O
12	he	PRP	O
12	does	VBZ	O
12	not	RB	O
12	consider	VB	O
12	the	DT	O
12	Government	NNP	B-ORG
12	as	IN	O
12	a	DT	O
12	long-term	JJ	O
12	owner	NN	O
12	of	IN	O
12	TV2	NNP	B-ORG
13	.	.	O
13	TVNZ	NNP	B-ORG
13	has	VBZ	O
13	stated	VBN	O
13	that	IN	O
13	its	PRP$	O
13	preferred	JJ	O
13	choice	NN	O
13	would	MD	O
13	be	VB	O
13	for	IN	O
13	the	DT	O
13	Government	NNP	B-ORG
13	to	TO	O
13	sell	VB	O
13	TVNZ	NNP	B-ORG
13	as	IN	O
13	one	CD	O
13	entity	NN	O
13	instead	RB	O
13	of	IN	O
13	splitting	VBG	O
13	ownership	NN	O
13	of	IN	O
13	TV1	NNP	B-ORG
13	and	CC	O
13	TV2	NNP	B-ORG
14	.	.	O
14	Mr	NNP	B-PERSON
14	Harman	NNP	I-PERSON
14	said	VBD	O
14	TVNZ	NNP	B-ORG
14	was	VBD	O
14	positioning	VBG	O
14	itself	PRP	O
14	for	IN	O
14	future	JJ	O
14	developments	NNS	O
14	in	IN	O
14	the	DT	O
14	ways	NNS	O
14	that	WDT	O
14	information	NN	O
14	was	VBD	O
14	provided	VBN	O
14	,	,	O
14	by	IN	O
14	separating	VBG	O
14	news	NN	O
14	and	CC	O
14	current	NN	O
14	affairs	NNS	O
15	.	.	O
15	"	''	O
15	Concepts	NNS	O
15	like	IN	O
15	convergence	NN	O
15	,	,	O
15	information	NN	O
15	superhighways	NNS	O
15	,	,	O
15	and	CC	O
15	news	NN	O
15	on	IN	O
15	demand	NN	O
15	may	MD	O
15	not	RB	O
15	be	VB	O
15	with	IN	O
15	us	PRP	O
15	yet	RB	O
15	,	,	O
15	but	CC	O
15	we	PRP	O
15	want	VBP	O
15	to	TO	O
15	be	VB	O
15	ready	JJ	O
15	.	.	O
16	"	''	O
16	The	DT	O
16	change	NN	O
16	would	MD	O
16	not	RB	O
16	affect	VB	O
16	existing	JJ	O
16	news	NN	O
16	and	CC	O
16	current	NN	O
16	affairs	NNS	O
16	programmes	NNS	O
16	on	IN	O
16	TVNZ	NNP	B-ORG
16	channels	NNS	O
16	,	,	O
16	he	PRP	O
16	said	VBD	O
17	The	DT	O
17	new	JJ	O
17	news	NN	O
17	division	NN	O
17	would	MD	O
17	continue	VB	O
17	to	TO	O
17	provide	VB	O
17	its	PRP$	O
17	present	JJ	O
17	range	NN	O
17	of	IN	O
17	programmes	NNS	O
17	to	TO	O
17	TVNZ	NNP	B-ORG
17	Television	NNP	I-ORG
17	by	IN	O
17	way	NN	O
17	of	IN	O
17	commercial	JJ	O
17	contracts	NNS	O
17	with	IN	O
17	TV1	NNP	B-ORG
17	and	CC	O
17	TV2	NNP	B-ORG
18	.	.	O
18	Mr	NNP	B-PERSON
18	Norris	NNP	I-PERSON
18	will	MD	O
18	also	RB	O
18	have	VB	O
18	specific	JJ	O
18	group	NN	O
18	responsibility	NN	O
18	for	IN	O
18	the	DT	O
18	management	NN	O
18	of	IN	O
18	some	DT	O
18	of	IN	O
18	TVNZ	NNP	B-ORG
18	's	POS	O
18	international	JJ	O
18	relationships	NNS	O
18	with	IN	O
18	other	JJ	O
18	broadcasters	NNS	O
18	,	,	O
18	including	VBG	O
18	the	DT	O
18	BBC	NNP	B-ORG
18	and	CC	O
18	Australia	NNP	B-GPE
18	's	POS	O
18	Channel	NNP	B-ORG
18	9	CD	I-ORG
19	.	.	O
19	Global	JJ	O
19	alliances	NNS	O
19	with	IN	O
19	other	JJ	O
19	broadcasters	NNS	O
19	were	VBD	O
19	becoming	VBG	O
19	an	DT	O
19	increasingly	RB	O
19	important	JJ	O
19	part	NN	O
19	of	IN	O
19	being	VBG	O
19	a	DT	O
19	credible	JJ	O
19	news	NN	O
19	organisation	NN	O
19	,	,	O
19	Mr	NNP	B-PERSON
19	Norris	NNP	I-PERSON
19	said	VBD	O
20	—	:	O
20	NZPA	NNP	B-ORG


1	Economic	JJ	O
1	reforms	NNS	O
1	praised	VBN	O
2	SYDNEY	NNP	B-GPE
2	—	:	O
2	Australia	NNP	B-GPE
2	has	VBZ	O
2	a	DT	O
2	supeiiority	JJ	O
2	complex	NN	O
2	about	IN	O
2	New	NNP	B-GPE
2	Zealand	NNP	I-GPE
2	and	CC	O
2	New	NNP	B-GPE
2	Zealand	NNP	I-GPE
2	products	NNS	O
2	,	,	O
2	but	CC	O
2	will	MD	O
2	ignore	VB	O
2	its	PRP$	O
2	small	JJ	O
2	trans-Tasman	JJ	O
2	neighbour	NN	O
2	at	IN	O
2	its	PRP$	O
2	peril	NN	O
2	,	,	O
2	says	VBZ	O
2	the	DT	O
2	worldwide	JJ	O
2	boss	NN	O
2	of	IN	O
2	Heinz	NNP	B-ORG
2	,	,	O
2	Dr	NNP	B-PERSON
2	Tony	NNP	I-PERSON
2	O'Reilly	NNP	I-PERSON
2	.	.	O
3	In	IN	O
3	an	DT	O
3	aii	NN	O
3	interview	NN	O
3	in	IN	O
3	the	DT	O
3	"	''	O
3	Weekend	NNP	B-ORG
3	Australian	NNP	I-ORG
3	"	''	O
3	in	IN	O
3	which	WDT	O
3	he	PRP	O
3	lavished	VBD	O
3	praise	NN	O
3	on	IN	O
3	New	NNP	B-GPE
3	Zealand	NNP	I-GPE
3	's	POS	O
3	economic	JJ	O
3	reforms	NNS	O
3	,	,	O
3	Dr	NNP	B-PERSON
3	O'Reilly	NNP	I-PERSON
3	said	VBD	O
3	its	PRP$	O
3	Prime	NNP	B-PERSON
3	Minister	NNP	I-PERSON
3	,	,	O
3	Mr	NNP	B-PERSON
3	Bolger	NNP	I-PERSON
3	,	,	O
3	was	VBD	O
3	"	''	O
3	unashamedly	RB	O
3	selling	VBG	O
3	off	RP	O
3	anything	NN	O
3	.	.	O
4	.	.	O
4	.	.	O
4	I	PRP	O
4	'	''	O
4	d	sell	VB	O
4	he	PRP	O
4	'	''	O
4	d	sell	VB	O
4	his	PRP$	O
4	office	NN	O
4	.	.	O
5	This	DT	O
5	is	VBZ	O
5	a	DT	O
5	very	RB	O
5	pious	JJ	O
5	and	CC	O
5	virtuous	JJ	O
5	thing	NN	O
5	but	CC	O
5	it	PRP	O
5	is	VBZ	O
5	not	RB	O
5	necessarily	RB	O
5	something	NN	O
5	the	DT	O
5	public	NN	O
5	will	MD	O
5	see	VB	O
5	working	VBG	O
5	immediately	RB	O
5	.	.	O
6	The	DT	O
6	paper	NN	O
6	described	VBD	O
6	Dr	NNP	B-PERSON
6	O'Reilly	NNP	I-PERSON
6	as	IN	O
6	a	DT	O
6	"	''	O
6	soulmate	NN	O
6	of	IN	O
6	(	(	O
6	Australian	JJ	B-GPE
6	Prime	NNP	O
6	Minister	NNP	O
6	)	)	O
6	Paul	NNP	B-PERSON
6	Keating	NNP	I-PERSON
6	"	''	O
6	.	.	O
7	It	PRP	O
7	said	VBD	O
7	Dr	NNP	B-PERSON
7	O'Reilly	NNP	I-PERSON
7	had	VBD	O
7	"	''	O
7	whizzed	VBN	O
7	"	''	O
7	down	RB	O
7	to	IN	O
7	Canberra	NNP	B-GPE
7	for	IN	O
7	a	DT	O
7	chat	NN	O
7	with	IN	O
7	Mr	NNP	B-PERSON
7	Keating	NNP	I-PERSON
7	during	IN	O
7	the	DT	O
7	week	NN	O
7	but	CC	O
7	Dr	NNP	B-PERSON
7	O'Reilly	NNP	I-PERSON
7	"	''	O
7	may	MD	O
7	have	VB	O
7	spared	VBN	O
7	Mr	NNP	B-PERSON
7	Keating	NNP	I-PERSON
7	his	PRP$	O
7	thoughts	NNS	O
7	on	IN	O
7	the	DT	O
7	runaway	JJ	O
7	success	NN	O
7	of	IN	O
7	the	DT	O
7	New	NNP	B-GPE
7	Zealand	NNP	I-GPE
7	economy	NN	O
7	,	,	O
7	for	IN	O
7	which	WDT	O
7	he	PRP	O
7	has	VBZ	O
7	unwavering	JJ	O
7	admiration	NN	O
7	"	''	O
7	.	.	O
8	The	DT	O
8	paper	NN	O
8	said	VBD	O
8	Dr	NNP	B-PERSON
8	O'Reilly	NNP	I-PERSON
8	was	VBD	O
8	one	CD	O
8	of	IN	O
8	the	DT	O
8	world	NN	O
8	's	POS	O
8	highest-paid	JJ	O
8	executives	NNS	O
8	,	,	O
8	earning	VBG	O
8	$A54	CD	B-MONEY
8	million	CD	I-MONEY
8	(	(	O
8	$	$	O
8	65	CD	B-MONEY
8	million	CD	I-MONEY
8	)	)	O
8	from	IN	O
8	Heinz	NNP	B-ORG
8	in	IN	O
8	salary	NN	O
8	and	CC	O
8	bonuses	NNS	O
8	last	JJ	O
8	year	NN	O
8	,	,	O
8	on	IN	O
8	top	NN	O
8	of	IN	O
8	about	IN	O
8	$A110	CD	B-MONEY
8	million	CD	I-MONEY
8	in	IN	O
8	a	DT	O
8	bumper	JJ	O
8	1991	CD	B-DATE
8	year	NN	O
8	.	.	O
9	With	IN	O
9	operations	NNS	O
9	in	IN	O
9	100	CD	O
9	economies	NNS	O
9	around	IN	O
9	the	DT	O
9	world	NN	O
9	,	,	O
9	Dr	NNP	B-PERSON
9	O'Reilly	NNP	I-PERSON
9	was	VBD	O
9	most	RBS	O
9	impressed	JJ	O
9	with	IN	O
9	the	DT	O
9	transformation	NN	O
9	of	IN	O
9	the	DT	O
9	New	NNP	B-GPE
9	Zealand	NNP	I-GPE
9	economy	NN	O
9	since	IN	O
9	the	DT	O
9	mid1980s	CD	B-DATE
9	and	CC	O
9	would	MD	O
9	eloquently	RB	O
9	deliver	VB	O
9	a	DT	O
9	potted	JJ	O
9	economic	JJ	O
9	history	NN	O
9	of	IN	O
9	New	NNP	B-GPE
9	Zealand	NNP	I-GPE
9	's	POS	O
9	abrupt	JJ	O
9	end	NN	O
9	to	IN	O
9	life	NN	O
9	as	IN	O
9	Britain	NNP	B-GPE
9	's	POS	O
9	farm	NN	O
9	to	IN	O
9	its	PRP$	O
9	embracing	VBG	O
9	of	IN	O
9	deregulation	NN	O
9	and	CC	O
9	privatisation	NN	O
9	.	.	O
10	"	''	O
10	Australia	NNP	B-GPE
10	will	MD	O
10	ignore	VB	O
10	New	NNP	B-GPE
10	Zealand	NNP	I-GPE
10	at	IN	O
10	its	PRP$	O
10	peril	NN	O
10	,	,	O
10	"	''	O
10	Dr	NNP	B-PERSON
10	O'Reilly	NNP	I-PERSON
10	said	VBD	O
10	.	.	O
11	"	''	O
11	I	PRP	O
11	have	VBP	O
11	always	RB	O
11	felt	VBN	O
11	that	IN	O
11	Australia	NNP	B-GPE
11	has	VBZ	O
11	had	VBN	O
11	a	DT	O
11	certain	JJ	O
11	superiority	NN	O
11	complex	NN	O
11	as	IN	O
11	far	RB	O
11	as	IN	O
11	New	NNP	B-GPE
11	Zealand	NNP	I-GPE
11	and	CC	O
11	New	NNP	B-GPE
11	Zealand	NNP	I-GPE
11	products	NNS	O
11	are	VBP	O
11	concerned	VBN	O
11	.	.	O
12	Heinz	NNP	B-ORG
12	paid	VBD	O
12	$A420	CD	B-MONEY
12	million	CD	I-MONEY
12	for	IN	O
12	Wattie	NNP	B-ORG
12	Foods	NNP	I-ORG
12	from	IN	O
12	the	DT	O
12	Goodman	NNP	B-ORG
12	Fielder	NNP	I-ORG
12	group	NN	O
12	last	JJ	O
12	year	NN	O
12	.	.	O
13	"	''	O
13	It	PRP	O
13	'	''	O
13	s	'	''	O
13	doing	VBG	O
13	so	RB	O
13	well	RB	O
13	I	PRP	O
13	do	RBP	O
13	not	RB	O
13	know	VB	O
13	why	WRB	O
13	they	PRP	O
13	sold	VBD	O
13	it	PRP	O
13	,	,	O
13	"	''	O
13	Dr	NNP	B-PERSON
13	O'Reilly	NNP	I-PERSON
13	said	VBD	O
13	.	.	O
14	Shortly	RB	O
14	after	IN	O
14	that	DT	O
14	purchase	NN	O
14	,	,	O
14	industrial	JJ	O
14	trouble	NN	O
14	broke	VBD	O
14	out	RP	O
